Id;NAME;DEGREE;DEP-DEGREE;CC;ONE-WAY-DEPENDENCY;ONE-WAY-INDEPENDENCY;TWO-WAY-DEPENDENCY;TWO-WAY-INDEPENDENCY;OVERLAPNESS;ZONE-ID;ZONE-SIZE;ZONE-CATEGORY;ZONE-DENSITY;MEMBERSHIP;INNER-MEMBERSHIP;LIAISONSHIP;CO-LIAISONSHIP;SUPER;SUB;OVERLAP;ZONE-MODULARITY
134;Jure Leskovec .S.;11;5,55750282651702;0,0909090909090909;0;5;0;6;1;103;7;TOP;0,428571428571429;6;0;5;0;0;4;1;0,603217660420723
135;Philip Levis .S.;15;3,42170215662635;0,228571428571429;1;2;0;12;0,8;104;7;INTER;0,571428571428571;6;1;3;1;1;3;1;0,255037795559985
136;Fei-Fei Li .S.;9;1,98522263603228;0,194444444444444;1;1;0;7;0,666666666666667;105;3;INTER;0,666666666666667;3;1;1;0;1;1;0;0,175487817668513
137;Percy Liang .S.;10;1,49416313110478;0,177777777777778;0;0;0;10;0;106;1;INDEPENDENT;1;1;0;0;0;0;0;0;0
138;Tengyu Ma .S.;3;0,331446540880503;0,666666666666667;2;0;0;1;0;107;3;BOTTOM;1;3;2;0;0;2;0;0;0,137492985230718
139;Christopher D. Manning .S.;9;3,48459437021241;0,111111111111111;0;3;0;6;1;108;6;TOP;0,4;6;0;5;0;0;3;2;0,2851525955405
140;David Mazières .S.;13;2,76536682995211;0,294871794871795;0;1;0;12;1;109;4;BOTTOM;1;5;0;4;0;3;0;0;0,0911111736670732
141;Nick McKeown .S.;16;5,39026961672304;0,191666666666667;0;5;0;11;1;110;8;TOP;0,357142857142857;7;0;6;0;0;5;1;0,358089313933825
143;Subhasish Mitra .S.;12;4,48282205104249;0,166666666666667;0;2;1;9;0,8;111;6;TOP;0,333333333333333;3;0;2;0;0;2;0;0,49490293431973
144;Kunle Olukotun .S.;12;1,84285178792028;0,227272727272727;1;1;0;10;0,666666666666667;112;3;INDEPENDENT;1;3;1;0;1;0;0;0;0,307062859476621
145;John K. Ousterhout .S.;8;0,91212041619925;0,392857142857143;1;0;0;7;0;113;2;BOTTOM;1;2;1;0;0;1;0;0;0,109723466046188
146;Chris Piech .S.;7;3,30422678425285;0,428571428571429;1;2;2;2;0,571428571428572;114;6;INTER;0,733333333333333;4;1;1;1;1;2;0;0,43965567698597
147;Balaji Prabhakar .S.;8;1,46449756779965;0,357142857142857;1;0;0;7;0;115;2;BOTTOM;1;2;1;0;0;1;0;0;0,0776092808619381
149;Omer Reingold .S.;5;1,54347826086957;0;0;1;0;4;1;116;2;INDEPENDENT;1;2;0;1;0;0;0;0;0,357142857142857
150;Mendel Rosenblum .S.;14;3,41623182648057;0,296703296703297;0;2;0;12;1;117;4;TOP;0,666666666666667;4;0;3;0;0;2;1;0,310385770661298
151;Tim Roughgarden .S.;9;2,21807741458165;0,138888888888889;0;1;0;8;1;118;2;INDEPENDENT;1;2;0;1;0;0;0;0;0,125
152;Aviad Rubinstein .S.;3;1,23055555555556;0,333333333333333;0;1;1;1;0,666666666666667;32;3;INDEPENDENT;1;2;0;0;1;0;0;0;0,615384615384615
153;Dorsa Sadigh .S.;4;1,66906896002548;0,5;0;1;1;2;0,666666666666667;65;5;TOP;0,4;5;0;4;0;0;1;3;0,423347008640497
154;Mehran Sahami .S.;12;2,63588302062606;0,196969696969697;0;1;1;10;0,666666666666667;114;6;INTER;0,733333333333333;3;1;0;1;1;1;0;0,43965567698597
155;Silvio Savarese .S.;9;3,58296897581574;0,222222222222222;0;3;0;6;1;119;6;TOP;0,4;5;0;4;0;0;3;1;0,389343243030046
156;Li-Yang Tan .S.;1;0,214285714285714;0;1;0;0;0;0;120;2;INDEPENDENT;1;2;1;0;0;0;0;0;0,151522881682832
157;Gregory Valiant .S.;6;1,60163482948553;0,0666666666666667;0;1;0;5;1;121;2;INDEPENDENT;1;2;0;1;0;0;0;0;0,0952380952380952
158;Jennifer Widom .S.;7;1,96440940294087;0,380952380952381;1;0;1;5;0;122;10;INTER;0,311111111111111;2;1;0;0;1;0;0;0,285321908942221
159;Keith Winstein .S.;4;0,342627442002442;0,5;3;0;0;1;0;123;4;BOTTOM;1;5;4;0;0;3;0;0;0,0890843188896438
160;Mary Wootters .S.;1;0,19047619047619;0;1;0;0;0;0;124;2;BOTTOM;1;2;1;0;0;1;0;0;0,134687005940295
161;Matei Zaharia .S.;16;4,44544491110922;0,358333333333333;2;1;0;13;0,5;125;4;INTER;0,833333333333333;4;2;0;1;2;1;0;0,176609943539474
163;Jerry Cain .S.;2;0,198412698412698;1;2;0;0;0;0;126;3;BOTTOM;1;3;2;0;0;2;0;0;0,0744322927564787
165;Chris Gregg .S.;1;0,032258064516129;0;1;0;0;0;0;127;2;BOTTOM;1;3;2;0;0;2;0;0;0,022809896167308
167;Nick Parlante .S.;9;5,88075861336731;0,333333333333333;0;6;1;2;0,923076923076923;128;8;TOP;0,571428571428571;7;0;1;5;0;6;0;0,74
168;Keith Schwarz .S.;3;0,37839756861496;1;3;0;0;0;0;129;4;BOTTOM;1;3;2;0;0;2;0;0;0,265165042944955
170;Marty Stepp .S.;2;0,152293358815098;1;2;0;0;0;0;130;3;BOTTOM;1;2;1;0;0;1;0;0;0,253833203502863
172;Julie Zelenski .S.;9;4,63154227716728;0,333333333333333;0;4;1;4;0,888888888888889;128;8;TOP;0,571428571428571;6;0;0;5;0;5;0;0,74
173;David R. Cheriton .S.;1;0,0181818181818182;0;1;0;0;0;0;131;2;BOTTOM;1;2;1;0;0;1;0;0;0,0128564869306645
174;David L. Dill .S.;6;2,83454233454233;0,2;0;3;1;2;0,857142857142857;84;8;TOP;0,357142857142857;4;0;1;2;0;3;0;0,617904163730554
176;Richard Fikes .S.;1;0,333333333333333;0;1;0;0;0;0;132;2;BOTTOM;1;6;5;0;0;5;0;0;0,235702260395516
177;Hector Garcia-Molina .S.;13;4,46091925050844;0,217948717948718;0;5;0;8;1;133;12;TOP;0,272727272727273;6;0;5;0;0;4;1;0,549890435664155
178;Jean-Claude Latombe .S.;5;1,61236101376322;0,3;1;1;0;3;0,666666666666667;134;3;TOP;0,666666666666667;3;1;1;0;0;1;0;0,179849085687464
179;Marc Levoy .S.;7;1,99853891319409;0,380952380952381;1;2;0;4;0,8;135;6;INTER;0,666666666666667;6;1;2;2;1;2;2;0,181516013401914
182;Serge A. Plotkin .S.;3;0,89719806763285;0,666666666666667;1;0;0;2;0;136;2;INDEPENDENT;1;2;1;0;0;0;0;0;0,249567099242311
183;Vaughan R. Pratt .S.;2;0,392156862745098;0;2;0;0;0;0;137;3;BOTTOM;0,666666666666667;5;4;0;0;4;0;0;0,0707106781186547
184;Eric Roberts .S.;8;3,23696016886874;0,357142857142857;1;3;0;4;0,857142857142857;138;6;INTER;0,733333333333333;5;1;0;3;1;3;0;0,437732769305958
185;Kenneth Salisbury .S.;1;0,0588235294117647;0;1;0;0;0;0;139;2;BOTTOM;1;2;1;0;0;1;0;0;0,0415945165403852
186;Yoav Shoham .S.;3;0,293669871794872;0,333333333333333;1;0;0;2;0;140;2;BOTTOM;1;3;2;0;0;2;0;0;0,0815892439830632
187;Jeffrey D. Ullman .S.;12;3,98324582995778;0,272727272727273;1;2;1;8;0,666666666666667;122;10;INTER;0,311111111111111;5;1;1;2;1;2;1;0,285321908942221
188;Gio Wiederhold .S.;4;0,883711553210894;0,5;3;1;0;0;0,4;141;6;INTER;0,533333333333333;5;3;1;0;3;1;0;0,201230780847498
189;Terry Winograd .S.;8;1,05579324506576;0,214285714285714;2;0;0;6;0;142;3;BOTTOM;1;3;2;0;0;1;0;0;0,270904546039002
190;Russ B. Altman .S.;3;1,08333333333333;0;0;1;0;2;1;143;2;INDEPENDENT;1;2;0;1;0;0;0;0;0,333333333333333
191;Stephen Boyd .S.;1;0,0555555555555556;0;1;0;0;0;0;144;2;BOTTOM;1;2;1;0;0;1;0;0;0,0392837100659193
192;John C. Duchi .S.;5;1,46403892884217;0,2;0;1;1;3;0,666666666666667;76;3;TOP;0,666666666666667;2;0;1;0;0;1;0;0,46875
193;Sean Follmer .S.;2;0,285328719723183;1;2;0;0;0;0;145;3;BOTTOM;1;2;1;0;0;1;0;0;0,309359216769115
194;Jacob Fox .S.;1;0,125;0;1;0;0;0;0;146;2;INDEPENDENT;1;2;1;0;0;0;0;0;0,0883883476483184
195;Surya Ganguli .S.;5;0,995203627700894;0,6;4;0;0;1;0;147;5;BOTTOM;1;3;2;0;0;2;0;0;0,340696903662609
196;Ashish Goel .S.;6;1,83232438522294;0,333333333333333;0;1;0;5;1;148;2;INDEPENDENT;1;2;0;1;0;0;0;0;0,352941176470588
200;Ramesh Johari .S.;5;1,06605214081818;0,3;2;1;0;2;0,5;149;4;INTER;0,833333333333333;4;2;0;1;2;1;0;0,211563347658957
201;Mykel J. Kochenderfer .S.;4;1,46685340802988;0,5;3;1;0;0;0,4;150;6;INTER;0,533333333333333;5;2;2;0;1;1;1;0,30437996188405
202;Michael Levitt .S.;1;0,0169491525423729;0;1;0;0;0;0;151;2;BOTTOM;1;2;1;0;0;1;0;0;0,011984860698077
203;Stephen B. Montgomery .S.;1;0,333333333333333;0;1;0;0;0;0;152;2;INDEPENDENT;1;2;1;0;0;0;0;0;0,235702260395516
204;Allison M. Okamura .S.;4;0,896930236359351;0,333333333333333;2;1;0;1;0,5;153;5;INTER;0,5;5;2;2;0;1;1;1;0,186338998124982
208;Aaron Sidford .S.;2;0,163879598662207;0;1;0;0;1;0;154;2;BOTTOM;1;2;1;0;0;1;0;0;0,0517395205746254
211;Gordon Wetzstein .S.;3;1,11025641025641;0;0;0;1;2;0;7;2;INDEPENDENT;1;1;0;0;0;0;0;0;0,6
212;Dan Yamins .S.;2;0,190058479532164;0;1;0;0;1;0;155;2;BOTTOM;1;3;2;0;0;2;0;0;0,0543928293220421
213;James Zou .S.;2;0,121276595744681;0;1;0;0;1;0;156;2;INDEPENDENT;1;2;1;0;0;0;0;0;0,0673435029701474
214;Pei Cao .S.;1;0,0220264317180617;0;1;0;0;0;0;157;2;BOTTOM;1;3;2;0;0;2;0;0;0,0155750392331838
217;Daphne Koller .S.;13;2,34526091360797;0,192307692307692;0;0;0;13;0;158;1;INDEPENDENT;1;1;0;0;0;0;0;0;0
